Wavelength (nm),1_Co3O4_b2_d2_c3_s8 - quartz
200,1.81976
201,1.81401
202,1.7981
203,1.79691
204,1.78739
205,1.7863
206,1.78039
207,1.79349
208,1.80297
209,1.80886
210,1.79434
211,1.78781
212,1.78851
213,1.79458
214,1.79116
215,1.79396
216,1.79197
217,1.79729
218,1.79428
219,1.79465
220,1.79405
221,1.79734
222,1.79511
223,1.78482
224,1.78201
225,1.78343
226,1.78592
227,1.77925
228,1.77844
229,1.77666
230,1.77729
231,1.7783
232,1.77556
233,1.77225
234,1.76507
235,1.76277
236,1.76032
237,1.75307
238,1.74625
239,1.73973
240,1.73517
241,1.73287
242,1.72506
243,1.72399
244,1.71973
245,1.71726
246,1.71222
247,1.70179
248,1.70073
249,1.69358
250,1.68985
251,1.6826
252,1.67999
253,1.67825
254,1.66885
255,1.66315
256,1.65763
257,1.65462
258,1.64968
259,1.64344
260,1.63717
261,1.63345
262,1.6253
263,1.6219
264,1.61706
265,1.61279
266,1.60583
267,1.59963
268,1.59644
269,1.5905
270,1.58328
271,1.57607
272,1.57175
273,1.56501
274,1.55821
275,1.54885
276,1.54141
277,1.53211
278,1.52
279,1.5127
280,1.50203
281,1.49381
282,1.4828
283,1.46983
284,1.45821
285,1.44766
286,1.43863
287,1.43024
288,1.42175
289,1.41314
290,1.40419
291,1.39488
292,1.38721
293,1.38052
294,1.37287
295,1.36592
296,1.35793
297,1.35331
298,1.34729
299,1.34118
300,1.33467
301,1.3284
302,1.32094
303,1.31561
304,1.31047
305,1.30889
306,1.30501
307,1.30286
308,1.29995
309,1.29733
310,1.29284
311,1.28885
312,1.28513
313,1.28174
314,1.27874
315,1.27256
316,1.27183
317,1.26794
318,1.26759
319,1.26383
320,1.26219
321,1.25778
322,1.25366
323,1.25005
324,1.2477
325,1.24473
326,1.24071
327,1.23925
328,1.23859
329,1.23583
330,1.23398
331,1.23095
332,1.22802
333,1.22416
334,1.22305
335,1.21911
336,1.21677
337,1.2142
338,1.21223
339,1.21013
340,1.2077
341,1.20551
342,1.20168
343,1.19957
344,1.19642
345,1.19455
346,1.1914
347,1.18958
348,1.1883
349,1.18654
350,1.18531
351,1.18338
352,1.18138
353,1.18004
354,1.17703
355,1.174
356,1.17269
357,1.17167
358,1.171
359,1.16906
360,1.16711
361,1.16474
362,1.16371
363,1.16315
364,1.1627
365,1.16212
366,1.15971
367,1.15849
368,1.15688
369,1.15709
370,1.15624
371,1.15574
372,1.1537
373,1.15266
374,1.15268
375,1.15166
376,1.15034
377,1.15
378,1.14908
379,1.1493
380,1.14968
381,1.14875
382,1.14988
383,1.14784
384,1.14793
385,1.14689
386,1.147
387,1.14683
388,1.14785
389,1.14777
390,1.14768
391,1.14765
392,1.14757
393,1.1476
394,1.14795
395,1.14798
396,1.14818
397,1.148
398,1.14796
399,1.1489
400,1.14863
401,1.14874
402,1.14885
403,1.14914
404,1.1491
405,1.14903
406,1.14788
407,1.14793
408,1.14786
409,1.14895
410,1.14898
411,1.14883
